Nh1,Nh2,Nh3,Nh4,activation_function,dropout_prob_1,dropout_prob_2,dropout_prob_3,dropout_prob_4,lr,weight_decay,train_batch_size,patience,avg_train_loss,avg_val_loss,train_time
8,64,64,16,ReLU(),0,0.0,0.15,0,0.001,0.0005,30,300,0.33594271540641785,0.34915032982826233,0.5375058690706889
128,256,32,64,ReLU(),0,0.15,0.15,0,0.0005,5e-05,30,400,0.3903410136699677,0.4935638308525085,0.5258719031016031
32,128,256,64,ReLU(),0,0.15,0.0,0,0.05,0.0005,40,200,0.595791220664978,0.6237033009529114,0.2417812418937683
128,16,16,256,Tanh(),0,0.35,0.0,0,0.0005,5e-05,40,300,0.6071606874465942,0.5362824201583862,0.4124907151858012
64,256,256,128,Tanh(),0,0.0,0.5,0,0.001,0.0005,40,300,0.2839692234992981,0.3632211089134216,0.39509728749593104
32,64,128,64,Tanh(),0,0.15,0.5,0,0.01,0.0001,50,400,0.4303812086582184,0.4927480816841126,0.4649040667215984
16,128,256,256,ReLU(),0,0.35,0.35,0,0.001,0.0005,30,100,0.8440958857536316,0.7010215520858765,0.1999215618769328
64,256,64,64,Tanh(),0,0.15,0.35,0,0.01,0.0005,30,200,0.6433628797531128,0.616887629032135,0.29462189435958863
16,16,8,128,Tanh(),0,0.0,0.15,0,0.01,1e-05,50,100,0.464897483587265,0.4225212931632996,0.1371392361323039
16,128,8,64,ReLU(),0,0.15,0.0,0,0.01,0.001,30,200,0.3628242313861847,0.4410921931266785,0.26109005053838097
64,16,8,16,Tanh(),0,0.15,0.0,0,0.01,0.001,50,300,0.5795285701751709,0.4736862182617188,0.3787201333045959
16,8,128,64,Tanh(),0,0.15,0.5,0,0.01,0.0001,20,300,0.45519104599952703,0.4448639750480652,0.4559089891115824
32,256,256,128,ReLU(),0,0.15,0.0,0,0.0005,0.0,50,400,0.26507097482681274,0.2873235642910004,0.3849370169639587
32,64,32,64,ReLU(),0,0.0,0.0,0,0.05,1e-05,30,400,0.2858966290950775,0.4627355039119721,0.561014309724172
8,8,32,128,Tanh(),0,0.15,0.0,0,0.01,0.001,40,300,0.4564966559410095,0.4345670640468597,0.4084694409370423
32,128,64,128,ReLU(),0,0.15,0.15,0,0.001,0.0001,50,300,0.3874771893024445,0.3537040650844574,0.31459699153900145
64,8,32,64,Tanh(),0,0.0,0.35,0,0.005,0.0,30,300,0.3428469300270081,0.4466949105262756,0.4084416802724203
8,16,8,64,Tanh(),0,0.35,0.0,0,0.005,1e-05,20,400,0.397426187992096,0.3822234570980072,0.5608954445521037
32,16,32,64,Tanh(),0,0.15,0.5,0,0.01,0.0005,20,200,0.5738939046859741,0.6478282809257507,0.22410681724548334
32,128,16,256,Tanh(),0,0.35,0.0,0,0.0005,0.001,30,400,0.321862131357193,0.3318144679069519,0.4450182867050171
64,128,256,16,ReLU(),0,0.15,0.0,0,0.001,0.0001,50,400,0.3335058689117432,0.33665692806243896,0.4720321075121562
128,32,16,256,Tanh(),0,0.35,0.0,0,0.005,0.0001,20,400,0.3719645440578461,0.4562280774116516,0.5062253562609355
32,256,32,256,Tanh(),0,0.5,0.0,0,0.0005,0.0001,50,400,0.3048732578754425,0.3299767076969147,0.6040774766604106
64,64,256,256,Tanh(),0,0.0,0.0,0,0.0005,0.0001,20,100,0.5206975936889648,0.5969883799552917,0.3929004613558452
16,256,256,128,ReLU(),0,0.0,0.5,0,0.001,0.001,30,400,0.2968454957008362,0.3158509731292725,0.5043818656603495
32,16,64,16,ReLU(),0,0.15,0.5,0,0.01,0.0005,20,300,0.7001029849052429,0.6087542772293091,0.3721004390716552
16,128,16,256,Tanh(),0,0.15,0.15,0,0.0005,0.0005,20,300,0.3966963887214661,0.3953220248222351,0.40215017954508464
64,32,16,64,Tanh(),0,0.0,0.0,0,0.001,5e-05,50,400,0.2358419895172119,0.3344225883483887,0.5325671370824179
64,8,128,128,Tanh(),0,0.35,0.0,0,0.001,0.0,50,400,0.662842333316803,0.4783637523651123,0.4696134718259176
16,16,256,256,Tanh(),0,0.0,0.35,0,0.01,0.0005,30,100,0.4787235260009766,0.32804590463638306,0.14019219636917116
128,32,256,32,ReLU(),0,0.15,0.5,0,0.01,0.0,40,300,0.6525092124938965,0.8075364232063293,0.5470556982358297
256,32,32,128,Tanh(),0,0.5,0.0,0,0.0005,0.0005,50,300,0.5616897344589233,0.2748214602470398,0.6547478159268697
128,32,128,128,Tanh(),0,0.0,0.35,0,0.005,0.0005,20,200,0.41627198457717896,0.2415516078472137,0.4519730742772421
16,256,128,128,ReLU(),0,0.35,0.5,0,0.0001,1e-05,30,400,0.5826792120933533,0.2939395308494568,1.4572998929023744
8,8,8,256,Tanh(),0,0.35,0.0,0,0.0005,0.0,40,400,0.5845902562141418,0.339637815952301,2.263821777502696
32,64,32,128,Tanh(),0,0.0,0.0,0,0.005,0.0005,30,200,0.3032373785972595,0.23677103221416476,0.436799992720286
256,64,256,64,Tanh(),0,0.5,0.35,0,0.005,0.0005,50,200,0.4287106394767761,0.288030207157135,0.3405386638641358
256,32,32,128,Tanh(),0,0.5,0.0,0,0.01,0.0,30,200,0.7251538634300232,0.3255324065685272,0.3239831352233887
16,16,256,128,Tanh(),0,0.15,0.35,0,0.0005,0.001,30,400,0.33381161093711853,0.24561941623687744,1.052526153723399
128,128,128,128,ReLU(),0,0.0,0.0,0,0.05,5e-05,40,200,0.26273003220558167,0.2529826760292053,0.3647985545794169
8,64,256,256,ReLU(),0,0.15,0.15,0,0.005,1e-05,20,200,0.3653102517127991,0.2659006714820862,0.44144227743148806
128,128,256,64,Tanh(),0,0.0,0.0,0,0.01,0.0,40,200,0.8347187042236328,0.7369409799575806,0.24276367584864297
64,256,256,256,Tanh(),0,0.5,0.15,0,0.005,0.001,20,300,0.46496596932411194,0.246376633644104,0.5793654863039652
32,128,64,256,Tanh(),0,0.5,0.0,0,0.001,0.0,30,400,0.3119100332260132,0.22681763768196106,0.8648465760548909
256,32,32,128,Tanh(),0,0.15,0.15,0,0.01,5e-05,50,300,0.367163747549057,0.2721831202507019,0.522451765537262
8,256,256,256,Tanh(),0,0.15,0.35,0,0.005,0.001,50,200,0.34280213713645935,0.2774161994457245,0.28639803012212117
